Vernier Format 2
consomme4.txt 11/28/115 14:38:36
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.239	0.006	-0.041	
0.05	0.240	0.004	-0.045	
0.10	0.240	0.001	-0.045	
0.15	0.240	-0.002	-0.028	
0.20	0.240	-0.002	-0.001	
0.25	0.240	-0.001	0.015	
0.30	0.239	-0.000	0.028	
0.35	0.240	0.003	0.010	
0.40	0.240	0.001	-0.009	
0.45	0.239	0.001	-0.010	
0.50	0.240	0.001	-0.028	
0.55	0.240	-0.003	-0.012	
0.60	0.240	-0.001	0.021	
0.65	0.240	0.001	0.019	
0.70	0.240	0.002	-0.004	
0.75	0.240	-0.001	-0.011	
0.80	0.240	-0.001	0.009	
0.85	0.240	0.000	0.036	
0.90	0.240	0.003	0.075	
0.95	0.240	0.006	0.163	
1.00	0.240	0.015	0.332	
1.05	0.241	0.039	0.497	
1.10	0.244	0.069	0.583	
1.15	0.248	0.099	0.629	
1.20	0.253	0.133	0.640	
1.25	0.261	0.163	0.641	
1.30	0.269	0.199	0.601	
1.35	0.282	0.222	0.573	
1.40	0.291	0.252	0.621	
1.45	0.306	0.289	0.588	
1.50	0.321	0.312	0.545	
1.55	0.337	0.340	0.569	
1.60	0.355	0.367	0.614	
1.65	0.374	0.404	0.618	
1.70	0.396	0.433	0.546	
1.75	0.417	0.453	0.552	
1.80	0.440	0.487	0.582	
1.85	0.466	0.516	0.541	
1.90	0.492	0.538	0.554	
1.95	0.519	0.571	0.593	
2.00	0.550	0.598	0.636	
2.05	0.579	0.627	0.790	
2.10	0.611	0.684	0.796	
2.15	0.649	0.723	0.490	
2.20	0.685	0.732	0.175	
2.25	0.722	0.733	0.014	
2.30	0.758	0.726	0.044	
2.35	0.794	0.731	0.208	
2.40	0.831	0.745	0.386	
2.45	0.867	0.778	0.420	
2.50	0.910	0.795	0.325	
2.55	0.948	0.798	0.424	
2.60	0.988	0.835	0.560	
2.65	1.032	0.865	0.519	
2.70	1.075	0.887	0.450	
2.75	1.120	0.910	0.360	
2.80	1.166	0.926	0.213	
2.85	1.213	0.930	0.078	
2.90	1.259	0.936	-0.098	
2.95	1.308	0.922	-0.288	
3.00	1.352	0.898	-0.289	
3.05	1.397	0.887	-0.161	
3.10	1.440	0.883	-0.039	
3.15	1.485	0.889	-0.026	
3.20	1.530	0.883	-0.062	
3.25	1.573	0.878	0.013	
3.30	1.618	0.876	0.224	
3.35	1.659	0.891	0.525	
3.40	1.703	0.963	0.174	
3.45	1.761	0.940	-0.771	
3.50	1.800	0.862	-1.407	
3.55	1.845	0.793	-2.014	
3.60	1.880	0.687	-3.010	
3.65	1.918	0.500	-3.986	
3.70	1.935	0.229	-3.765	
3.75	1.936	0.061	-2.306	
3.80	1.936	0.011	-1.026	
3.85	1.935	-0.001	-0.386	
3.90	1.935	-0.001	-0.104	
