Vernier Format 2
cream5.txt 11/28/115 14:46:46
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.238	0.002	-0.021	
0.05	0.238	0.001	-0.018	
0.10	0.238	0.000	-0.011	
0.15	0.238	0.000	-0.001	
0.20	0.238	0.000	0.007	
0.25	0.238	0.001	0.010	
0.30	0.238	0.003	-0.007	
0.35	0.238	0.000	-0.024	
0.40	0.238	-0.002	0.000	
0.45	0.238	0.001	0.029	
0.50	0.238	0.000	0.083	
0.55	0.238	0.005	0.220	
0.60	0.238	0.021	0.367	
0.65	0.240	0.045	0.450	
0.70	0.243	0.069	0.469	
0.75	0.247	0.093	0.460	
0.80	0.252	0.115	0.445	
0.85	0.258	0.138	0.410	
0.90	0.266	0.158	0.349	
0.95	0.274	0.173	0.281	
1.00	0.283	0.185	0.238	
1.05	0.293	0.195	0.230	
1.10	0.303	0.207	0.232	
1.15	0.313	0.222	0.171	
1.20	0.325	0.226	0.083	
1.25	0.336	0.224	0.102	
1.30	0.347	0.232	0.184	
1.35	0.359	0.248	0.176	
1.40	0.372	0.254	0.098	
1.45	0.385	0.253	0.112	
1.50	0.397	0.261	0.222	
1.55	0.410	0.276	0.334	
1.60	0.425	0.295	0.422	
1.65	0.440	0.317	0.507	
1.70	0.456	0.348	0.551	
1.75	0.475	0.376	0.528	
1.80	0.494	0.399	0.523	
1.85	0.514	0.427	0.530	
1.90	0.536	0.456	0.467	
1.95	0.561	0.476	0.362	
2.00	0.584	0.491	0.275	
2.05	0.610	0.501	0.239	
2.10	0.634	0.511	0.294	
2.15	0.661	0.527	0.415	
2.20	0.686	0.553	0.488	
2.25	0.715	0.587	0.314	
2.30	0.746	0.606	-0.197	
2.35	0.780	0.550	-0.364	
2.40	0.799	0.526	0.222	
2.45	0.828	0.590	0.538	
2.50	0.860	0.615	0.259	
2.55	0.891	0.605	0.102	
2.60	0.920	0.607	0.240	
2.65	0.951	0.630	0.414	
2.70	0.983	0.655	0.477	
2.75	1.017	0.682	0.440	
2.80	1.051	0.700	0.377	
2.85	1.087	0.717	0.338	
2.90	1.123	0.734	0.277	
2.95	1.160	0.749	0.148	
3.00	1.199	0.750	0.001	
3.05	1.235	0.743	-0.042	
3.10	1.272	0.750	-0.142	
3.15	1.312	0.734	-0.303	
3.20	1.346	0.708	-0.256	
3.25	1.381	0.702	-0.104	
3.30	1.416	0.701	-0.008	
3.35	1.451	0.708	-0.037	
3.40	1.488	0.704	-0.180	
3.45	1.522	0.683	-0.200	
3.50	1.555	0.674	-0.034	
3.55	1.589	0.682	0.129	
3.60	1.624	0.692	0.203	
3.65	1.658	0.700	0.245	
3.70	1.693	0.722	0.131	
3.75	1.731	0.733	-0.340	
3.80	1.769	0.686	-0.810	
3.85	1.799	0.641	-1.074	
3.90	1.834	0.580	-1.275	
3.95	1.859	0.492	-1.116	
4.00	1.879	0.470	-1.054	
4.05	1.906	0.431	-1.739	
4.10	1.928	0.294	-2.367	
4.15	1.936	0.152	-2.333	
4.20	1.936	0.060	-2.106	
