Vernier Format 2
consomme5.txt 11/28/115 14:48:4
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.234	0.032	-0.267	
0.05	0.237	0.018	-0.231	
0.10	0.237	0.005	-0.159	
0.15	0.237	0.001	-0.074	
0.20	0.237	0.000	-0.025	
0.25	0.237	0.000	-0.005	
0.30	0.237	0.000	-0.001	
0.35	0.237	0.000	0.000	
0.40	0.237	0.000	0.001	
0.45	0.237	0.000	0.006	
0.50	0.237	0.000	0.029	
0.55	0.237	0.001	0.096	
0.60	0.237	0.006	0.228	
0.65	0.237	0.022	0.395	
0.70	0.238	0.048	0.518	
0.75	0.242	0.077	0.572	
0.80	0.246	0.107	0.595	
0.85	0.252	0.137	0.607	
0.90	0.260	0.167	0.626	
0.95	0.269	0.199	0.651	
1.00	0.280	0.232	0.674	
1.05	0.292	0.270	0.640	
1.10	0.307	0.299	0.550	
1.15	0.322	0.320	0.539	
1.20	0.339	0.350	0.590	
1.25	0.357	0.380	0.636	
1.30	0.376	0.416	0.634	
1.35	0.399	0.446	0.568	
1.40	0.421	0.468	0.568	
1.45	0.445	0.504	0.565	
1.50	0.472	0.530	0.501	
1.55	0.499	0.547	0.556	
1.60	0.526	0.582	0.668	
1.65	0.557	0.617	0.733	
1.70	0.588	0.656	0.760	
1.75	0.622	0.698	0.646	
1.80	0.658	0.730	0.359	
1.85	0.696	0.739	0.021	
1.90	0.733	0.716	-0.009	
1.95	0.766	0.720	0.293	
2.00	0.804	0.753	0.485	
2.05	0.842	0.783	0.420	
2.10	0.883	0.795	0.327	
2.15	0.921	0.806	0.384	
2.20	0.963	0.833	0.456	
2.25	1.005	0.855	0.471	
2.30	1.048	0.881	0.466	
2.35	1.093	0.904	0.414	
2.40	1.139	0.923	0.331	
2.45	1.186	0.941	0.176	
2.50	1.234	0.942	-0.011	
2.55	1.280	0.937	-0.148	
2.60	1.327	0.926	-0.241	
2.65	1.373	0.909	-0.250	
2.70	1.418	0.895	-0.149	
2.75	1.462	0.893	-0.032	
2.80	1.507	0.900	-0.046	
2.85	1.553	0.891	-0.097	
2.90	1.596	0.880	0.029	
2.95	1.640	0.893	0.206	
3.00	1.687	0.901	0.352	
3.05	1.729	0.925	0.412	
3.10	1.776	0.985	-0.384	
3.15	1.833	0.925	-1.966	
3.20	1.873	0.771	-3.317	
3.25	1.911	0.588	-4.376	
3.30	1.938	0.291	-4.393	
3.35	1.936	0.067	-2.817	
3.40	1.936	0.010	-1.160	
3.45	1.936	-0.002	-0.333	
3.50	1.936	-0.001	-0.053	
3.55	1.936	-0.001	-0.012	
3.60	1.936	-0.003	-0.004	
3.65	1.936	-0.002	0.011	
3.70	1.936	-0.001	0.016	
3.75	1.936	-0.000	0.010	
3.80	1.936	0.000	0.005	
3.85	1.936	0.000	0.002	
