Vernier Format 2
consomme2.txt 11/28/115 14:30:11
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.239	-0.002	0.031	
0.05	0.239	-0.000	0.023	
0.10	0.239	0.001	0.005	
0.15	0.239	0.000	-0.020	
0.20	0.239	-0.003	-0.008	
0.25	0.239	-0.001	0.020	
0.30	0.239	0.001	0.024	
0.35	0.239	0.002	0.008	
0.40	0.239	0.001	-0.001	
0.45	0.239	0.002	-0.003	
0.50	0.239	0.002	-0.018	
0.55	0.239	-0.001	-0.024	
0.60	0.239	-0.002	-0.013	
0.65	0.239	-0.002	-0.001	
0.70	0.239	-0.002	0.013	
0.75	0.239	0.000	0.007	
0.80	0.239	0.001	-0.038	
0.85	0.239	-0.004	-0.055	
0.90	0.239	-0.012	0.080	
0.95	0.237	-0.004	0.360	
1.00	0.237	0.027	0.599	
1.05	0.240	0.064	0.685	
1.10	0.244	0.097	0.694	
1.15	0.249	0.137	0.623	
1.20	0.258	0.164	0.492	
1.25	0.266	0.179	0.484	
1.30	0.276	0.208	0.557	
1.35	0.287	0.238	0.597	
1.40	0.299	0.269	0.606	
1.45	0.314	0.299	0.597	
1.50	0.329	0.325	0.645	
1.55	0.346	0.365	0.656	
1.60	0.366	0.399	0.537	
1.65	0.387	0.414	0.496	
1.70	0.407	0.440	0.597	
1.75	0.430	0.478	0.636	
1.80	0.456	0.509	0.581	
1.85	0.481	0.536	0.523	
1.90	0.509	0.560	0.496	
1.95	0.537	0.579	0.594	
2.00	0.566	0.620	0.682	
2.05	0.600	0.653	0.672	
2.10	0.631	0.684	0.667	
2.15	0.667	0.724	0.533	
2.20	0.704	0.755	0.118	
2.25	0.746	0.731	-0.166	
2.30	0.777	0.710	0.060	
2.35	0.814	0.731	0.414	
2.40	0.849	0.768	0.501	
2.45	0.892	0.792	0.381	
2.50	0.930	0.797	0.383	
2.55	0.971	0.822	0.516	
2.60	1.012	0.855	0.553	
2.65	1.056	0.885	0.461	
2.70	1.101	0.900	0.350	
2.75	1.146	0.919	0.242	
2.80	1.193	0.928	0.074	
2.85	1.240	0.923	-0.045	
2.90	1.285	0.922	-0.123	
2.95	1.332	0.914	-0.233	
3.00	1.377	0.894	-0.259	
3.05	1.421	0.883	-0.180	
3.10	1.465	0.876	-0.079	
3.15	1.508	0.877	-0.003	
3.20	1.553	0.874	0.108	
3.25	1.595	0.883	0.272	
3.30	1.640	0.904	0.312	
3.35	1.684	0.941	-0.146	
3.40	1.738	0.907	-0.896	
3.45	1.778	0.818	-1.106	
3.50	1.817	0.779	-1.090	
3.55	1.855	0.750	-1.818	
3.60	1.896	0.635	-3.173	
3.65	1.925	0.404	-3.931	
3.70	1.936	0.171	-3.276	
3.75	1.936	0.042	-1.849	
3.80	1.936	0.007	-0.726	
3.85	1.936	-0.001	-0.204	
3.90	1.936	-0.001	-0.028	
3.95	1.936	0.001	0.002	
4.00	1.936	0.000	-0.004	
4.05	1.936	-0.000	-0.009	
4.10	1.936	-0.001	-0.012	
4.15	1.936	-0.002	0.000	
4.20	1.936	-0.001	0.021	
4.25	1.936	0.001	0.029	
4.30	1.936	0.002	0.032	
