Vernier Format 2
consomme1.txt 11/28/115 14:19:47
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.236	0.003	-0.102	
0.05	0.236	-0.002	-0.093	
0.10	0.236	-0.008	-0.068	
0.15	0.235	-0.011	-0.011	
0.20	0.235	-0.009	0.053	
0.25	0.234	-0.004	0.084	
0.30	0.234	0.000	0.086	
0.35	0.234	0.006	0.065	
0.40	0.235	0.008	0.029	
0.45	0.235	0.008	-0.001	
0.50	0.236	0.007	-0.016	
0.55	0.236	0.006	-0.020	
0.60	0.236	0.006	-0.034	
0.65	0.237	0.003	-0.051	
0.70	0.237	-0.001	-0.048	
0.75	0.236	-0.003	-0.028	
0.80	0.236	-0.003	-0.009	
0.85	0.236	-0.003	0.003	
0.90	0.236	-0.003	0.012	
0.95	0.236	-0.002	0.014	
1.00	0.236	-0.001	0.005	
1.05	0.236	-0.002	-0.000	
1.10	0.236	-0.002	0.009	
1.15	0.235	0.000	0.007	
1.20	0.236	-0.000	-0.007	
1.25	0.235	-0.002	-0.002	
1.30	0.235	-0.001	0.005	
1.35	0.235	-0.001	0.002	
1.40	0.235	-0.001	0.011	
1.45	0.235	-0.000	0.035	
1.50	0.235	0.003	0.066	
1.55	0.236	0.006	0.123	
1.60	0.236	0.011	0.255	
1.65	0.236	0.029	0.430	
1.70	0.238	0.057	0.551	
1.75	0.242	0.087	0.608	
1.80	0.247	0.118	0.635	
1.85	0.254	0.150	0.659	
1.90	0.262	0.187	0.624	
1.95	0.273	0.216	0.528	
2.00	0.284	0.236	0.513	
2.05	0.296	0.263	0.582	
2.10	0.310	0.294	0.646	
2.15	0.325	0.332	0.616	
2.20	0.344	0.361	0.490	
2.25	0.362	0.377	0.432	
2.30	0.381	0.399	0.460	
2.35	0.401	0.424	0.497	
2.40	0.423	0.450	0.524	
2.45	0.446	0.477	0.538	
2.50	0.471	0.504	0.545	
2.55	0.497	0.532	0.538	
2.60	0.524	0.558	0.526	
2.65	0.553	0.582	0.562	
2.70	0.582	0.612	0.639	
2.75	0.614	0.646	0.709	
2.80	0.646	0.687	0.680	
2.85	0.682	0.723	0.465	
2.90	0.720	0.736	0.201	
2.95	0.757	0.733	0.132	
3.00	0.793	0.741	0.245	
3.05	0.830	0.757	0.379	
3.10	0.868	0.785	0.399	
3.15	0.910	0.801	0.354	
3.20	0.948	0.811	0.462	
3.25	0.989	0.847	0.563	
3.30	1.033	0.876	0.520	
3.35	1.077	0.899	0.462	
3.40	1.123	0.922	0.391	
3.45	1.170	0.940	0.282	
3.50	1.217	0.950	0.145	
3.55	1.264	0.964	-0.157	
3.60	1.316	0.937	-0.479	
3.65	1.359	0.896	-0.449	
3.70	1.404	0.886	-0.266	
3.75	1.448	0.877	-0.169	
3.80	1.492	0.863	0.013	
3.85	1.532	0.881	0.121	
3.90	1.581	0.889	-0.018	
3.95	1.622	0.873	-0.054	
4.00	1.667	0.878	-0.022	
4.05	1.711	0.875	-0.056	
4.10	1.754	0.882	-0.303	
4.15	1.801	0.845	-0.685	
4.20	1.836	0.839	-1.499	
4.25	1.891	0.718	-2.706	
4.30	1.907	0.509	-3.564	
