Vernier Format 2
cream3.txt 11/28/115 14:43:39
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.235	0.001	-0.029	
0.05	0.236	-0.001	-0.013	
0.10	0.235	-0.002	0.007	
0.15	0.235	0.001	0.006	
0.20	0.236	-0.000	-0.009	
0.25	0.235	-0.001	0.000	
0.30	0.235	0.000	0.004	
0.35	0.235	-0.000	-0.003	
0.40	0.235	-0.001	0.001	
0.45	0.235	-0.000	0.008	
0.50	0.235	0.000	0.009	
0.55	0.235	0.001	0.003	
0.60	0.235	0.001	-0.009	
0.65	0.235	-0.001	-0.008	
0.70	0.235	-0.000	0.000	
0.75	0.235	-0.000	0.002	
0.80	0.235	-0.000	0.010	
0.85	0.235	0.000	0.043	
0.90	0.235	0.002	0.127	
0.95	0.235	0.011	0.249	
1.00	0.236	0.028	0.344	
1.05	0.238	0.048	0.382	
1.10	0.241	0.068	0.382	
1.15	0.245	0.087	0.363	
1.20	0.250	0.104	0.350	
1.25	0.255	0.122	0.332	
1.30	0.262	0.137	0.306	
1.35	0.269	0.152	0.289	
1.40	0.277	0.166	0.264	
1.45	0.286	0.178	0.247	
1.50	0.294	0.194	0.176	
1.55	0.306	0.199	0.052	
1.60	0.315	0.193	0.035	
1.65	0.324	0.198	0.097	
1.70	0.335	0.205	0.148	
1.75	0.345	0.213	0.204	
1.80	0.356	0.224	0.276	
1.85	0.367	0.244	0.281	
1.90	0.381	0.256	0.212	
1.95	0.393	0.261	0.221	
2.00	0.406	0.274	0.306	
2.05	0.420	0.291	0.390	
2.10	0.435	0.317	0.404	
2.15	0.452	0.336	0.337	
2.20	0.469	0.347	0.335	
2.25	0.486	0.366	0.393	
2.30	0.505	0.387	0.426	
2.35	0.525	0.412	0.404	
2.40	0.547	0.430	0.353	
2.45	0.568	0.442	0.392	
2.50	0.591	0.464	0.509	
2.55	0.614	0.498	0.543	
2.60	0.641	0.527	0.437	
2.65	0.668	0.536	0.392	
2.70	0.693	0.566	0.318	
2.75	0.725	0.586	-0.044	
2.80	0.755	0.553	-0.231	
2.85	0.779	0.538	0.027	
2.90	0.806	0.557	0.284	
2.95	0.835	0.580	0.316	
3.00	0.865	0.595	0.232	
3.05	0.895	0.595	0.263	
3.10	0.923	0.612	0.424	
3.15	0.955	0.651	0.366	
3.20	0.991	0.656	0.192	
3.25	1.021	0.654	0.277	
3.30	1.054	0.681	0.416	
3.35	1.089	0.705	0.405	
3.40	1.125	0.724	0.325	
3.45	1.162	0.738	0.221	
3.50	1.199	0.746	0.117	
3.55	1.237	0.748	0.021	
3.60	1.273	0.760	-0.265	
3.65	1.315	0.722	-0.542	
3.70	1.346	0.681	-0.365	
3.75	1.381	0.685	-0.129	
3.80	1.416	0.672	0.040	
3.85	1.446	0.688	0.187	
3.90	1.484	0.708	0.028	
3.95	1.519	0.691	-0.150	
4.00	1.553	0.678	-0.073	
4.05	1.586	0.683	0.067	
4.10	1.622	0.681	0.375	
4.15	1.654	0.708	0.857	
4.20	1.690	0.754	1.516	
4.25	1.724	0.918	0.923	
4.30	1.793	0.856	-0.265	
4.35	1.795	0.991	-2.930	
4.40	1.925	0.576	-5.393	
4.45	1.856	0.113	-1.965	
4.50	1.891	0.423	0.867	
4.55	1.918	0.414	0.538	
4.60	1.936	0.420	0.395	
