Vernier Format 2
cream2.txt 11/28/115 14:34:6
Run 1
Time	Position	Velocity	Acceleration	
T	P	V	A	
s	m	m/s	m/s^2	

0.00	0.238	-0.006	0.042	
0.05	0.238	-0.004	0.045	
0.10	0.237	-0.001	0.040	
0.15	0.238	0.001	0.023	
0.20	0.238	0.002	0.008	
0.25	0.238	0.002	-0.000	
0.30	0.238	0.001	0.005	
0.35	0.238	0.002	0.019	
0.40	0.238	0.002	0.069	
0.45	0.238	0.005	0.184	
0.50	0.238	0.020	0.303	
0.55	0.239	0.039	0.356	
0.60	0.242	0.057	0.364	
0.65	0.245	0.074	0.388	
0.70	0.249	0.097	0.400	
0.75	0.255	0.117	0.358	
0.80	0.261	0.132	0.318	
0.85	0.268	0.147	0.303	
0.90	0.276	0.161	0.297	
0.95	0.284	0.181	0.226	
1.00	0.295	0.188	0.094	
1.05	0.303	0.185	0.059	
1.10	0.313	0.189	0.121	
1.15	0.322	0.197	0.198	
1.20	0.332	0.210	0.253	
1.25	0.343	0.222	0.292	
1.30	0.354	0.242	0.277	
1.35	0.368	0.255	0.184	
1.40	0.380	0.257	0.149	
1.45	0.393	0.266	0.188	
1.50	0.407	0.276	0.233	
1.55	0.421	0.287	0.298	
1.60	0.435	0.309	0.304	
1.65	0.452	0.323	0.223	
1.70	0.468	0.326	0.220	
1.75	0.484	0.339	0.326	
1.80	0.501	0.364	0.366	
1.85	0.521	0.379	0.351	
1.90	0.539	0.392	0.455	
1.95	0.559	0.420	0.622	
2.00	0.581	0.462	0.646	
2.05	0.606	0.493	0.503	
2.10	0.630	0.511	0.355	
2.15	0.657	0.527	0.234	
2.20	0.684	0.530	0.178	
2.25	0.709	0.545	0.108	
2.30	0.739	0.554	-0.142	
2.35	0.767	0.524	-0.231	
2.40	0.791	0.506	0.107	
2.45	0.815	0.534	0.476	
2.50	0.843	0.576	0.461	
2.55	0.874	0.588	0.262	
2.60	0.903	0.590	0.245	
2.65	0.932	0.609	0.309	
2.70	0.964	0.625	0.312	
2.75	0.995	0.639	0.333	
2.80	1.027	0.660	0.336	
2.85	1.061	0.674	0.328	
2.90	1.095	0.690	0.346	
2.95	1.130	0.712	0.293	
3.00	1.166	0.724	0.166	
3.05	1.203	0.726	0.062	
3.10	1.239	0.727	-0.005	
3.15	1.275	0.732	-0.170	
3.20	1.314	0.711	-0.341	
3.25	1.346	0.685	-0.272	
3.30	1.381	0.681	-0.133	
3.35	1.415	0.674	-0.040	
3.40	1.447	0.681	-0.034	
3.45	1.483	0.678	-0.146	
3.50	1.516	0.661	-0.172	
3.55	1.549	0.654	-0.091	
3.60	1.581	0.657	-0.085	
3.65	1.615	0.649	-0.139	
3.70	1.646	0.640	-0.149	
3.75	1.679	0.632	-0.093	
3.80	1.709	0.628	0.043	
3.85	1.742	0.632	0.221	
3.90	1.771	0.651	0.295	
3.95	1.806	0.690	-0.192	
4.00	1.844	0.655	-1.125	
4.05	1.874	0.562	-1.840	
4.10	1.900	0.463	-2.366	
4.15	1.922	0.322	-2.681	
4.20	1.933	0.166	-2.374	
4.25	1.936	0.060	-1.559	
4.30	1.936	0.012	-0.747	
4.35	1.936	0.002	-0.254	
4.40	1.936	-0.000	-0.061	
4.45	1.936	0.000	-0.009	
4.50	1.936	0.000	-0.001	
4.55	1.936	0.000	0.000	
4.60	1.936	0.000	0.000	
4.65	1.936	0.000	0.000	
4.70	1.936	0.000	0.000	
